timestamp_us,up,down,left,right
27323899,0,1,0,0
28291925,0,0,0,0
29166699,1,0,0,0
30174813,0,0,1,0
32565564,1,0,0,0
33499523,0,0,0,1
34004740,1,0,0,0
34715209,0,0,0,1
35065166,1,0,0,0
35814741,0,0,0,1
38123231,0,0,0,1
39628038,1,0,0,0
42481206,0,0,0,1
43617922,1,0,0,0
44440881,0,1,0,0
46174956,0,0,0,0
48218748,0,1,0,0
49338794,0,0,1,0
51103478,1,0,0,0
53947794,0,0,0,1
54869093,1,0,0,0
58760809,0,0,1,0
61832845,0,1,0,0
63369800,0,0,0,1
64803233,1,0,0,0
65916257,0,0,0,1
67106819,0,1,0,0
70051931,0,0,0,0
74005411,1,0,0,0
75844323,0,0,0,1
78234539,0,0,0,0
