timestamp_us,up,down,left,right
56798409,1,0,0,0
58090852,0,0,0,0
60648626,1,0,0,0
62563198,0,0,0,0
64036308,0,0,0,1
67093382,1,0,0,0
67505487,0,0,1,0
76164698,0,1,0,0
79395103,0,0,0,1
83984885,0,1,0,0
86034098,0,0,1,0
88398298,1,0,0,0
90177961,0,0,1,0
92759858,0,0,0,0
96378241,0,1,0,0
98107240,0,0,0,1
100468820,1,0,0,0
102252874,0,0,0,0
106224270,0,0,0,0
107506400,0,0,1,0
108275886,0,0,0,0
109192806,1,0,0,0
110076458,0,0,0,0
110418027,0,1,0,0
111317174,0,0,1,0
113064893,0,1,0,0
117773789,0,0,1,0
118406883,0,1,0,0
123708206,0,0,0,1
126135891,1,0,0,0
130337841,0,0,0,0
