timestamp_us,up,down,left,right
541186227,1,0,0,0
544892451,0,0,0,0
545397426,0,0,0,1
546067236,0,0,0,0
546847662,1,0,0,0
550231913,0,0,0,0
551144476,0,0,1,0
552180504,0,0,0,0
552994311,1,0,0,0
554409206,0,0,0,1
557090544,0,0,0,0
558078381,0,0,1,0
560215307,0,0,0,0
560535593,1,0,0,0
564207983,0,0,0,1
567713306,0,1,0,0
573141005,0,0,0,0
573836743,1,0,0,0
574447486,0,0,0,1
575571867,1,0,0,0
577815652,0,0,0,1
578956882,1,0,0,0
582744888,0,0,0,1
584343992,1,0,0,0
587658910,0,0,0,0
588276454,0,0,1,0
590017007,0,0,0,0
590667106,1,0,0,0
591594063,0,0,0,0
591949187,0,1,0,0
595322368,0,0,0,1
597020503,1,0,0,0
598931986,0,0,0,0
