timestamp_us,up,down,left,right
268910251,1,0,0,0
269503030,0,0,1,0
271270130,0,1,0,0
271691132,0,0,1,0
272477779,0,1,0,0
274635907,0,0,1,0
275075227,0,1,0,0
275903394,0,0,0,1
279076894,1,0,0,0
281106258,0,0,1,0
284100397,0,1,0,0
286014792,0,0,0,1
289081433,1,0,0,0
290111903,0,0,1,0
295644236,1,0,0,0
296557305,0,0,0,1
299621884,0,1,0,0
300761207,0,0,1,0
303922825,0,1,0,0
304927337,0,0,0,1
307912863,1,0,0,0
309356810,0,0,0,1
312722873,0,1,0,0
314873804,0,0,1,0
318336875,1,0,0,0
320428130,0,0,0,1
324064854,0,1,0,0
325005963,0,0,1,0
325535351,0,1,0,0
327672799,0,0,0,0
