timestamp_us,up,down,left,right
434740202,0,1,0,0
435606214,0,0,1,0
443867380,0,1,0,0
444910915,0,0,0,1
445725286,1,0,0,0
447949949,0,0,0,1
449790491,1,0,0,0
451653484,0,0,1,0
453173320,1,0,0,0
454683788,0,0,0,1
457364253,1,0,0,0
459589529,0,0,1,0
461213168,1,0,0,0
462203202,0,0,0,1
463731421,0,1,0,0
467502828,0,0,0,1
469313274,1,0,0,0
472200005,0,0,0,1
474553795,1,0,0,0
477940825,0,0,1,0
479985327,1,0,0,0
482685018,0,0,0,1
484291792,1,0,0,0
486330193,0,0,1,0
487251777,0,1,0,0
495099349,0,0,0,0
