timestamp_us,up,down,left,right
343104951,1,0,0,0
344218006,0,0,0,0
344984048,0,1,0,0
346963148,0,0,0,0
347679598,1,0,0,0
349625995,0,0,0,0
350525201,0,1,0,0
352597190,0,0,0,0
352913560,0,0,1,0
355257262,0,0,0,0
355662432,0,1,0,0
357822512,1,0,0,0
360874632,0,1,0,0
364681268,0,0,1,0
366933280,1,0,0,0
367476616,0,0,1,0
368344808,1,0,0,0
368772753,0,0,1,0
369598378,1,0,0,0
370286183,0,0,0,1
370858842,1,0,0,0
372969299,0,0,1,0
373359684,1,0,0,0
374590238,0,0,1,0
375190185,1,0,0,0
378005934,0,0,0,0
378527705,0,0,1,0
379699934,1,0,0,0
380653042,0,0,1,0
380929687,1,0,0,0
384410194,0,1,0,0
387275360,0,0,0,0
387688464,1,0,0,0
391272087,0,0,1,0
392033010,1,0,0,0
392636286,0,0,1,0
393726197,1,0,0,0
394448250,0,0,0,0
395053260,0,1,0,0
398372232,0,0,0,0
