timestamp_us,up,down,left,right
35771238,1,0,0,0
41087215,0,0,0,0
41504649,0,0,0,1
42838627,1,0,0,0
47264865,0,0,0,0
51908435,1,0,0,0
55619768,0,0,0,1
65388205,0,0,0,0
66066203,1,0,0,0
71459293,0,0,0,0
71696138,0,0,0,1
75169314,0,0,0,0
75667454,0,1,0,0
80593996,0,0,1,0
86631403,0,0,0,0
88456167,0,1,0,0
90504779,0,0,0,0
91151732,0,0,1,0
93884829,0,1,0,0
95119333,0,0,0,0
95770421,0,0,0,1
97777875,0,0,0,0
98116686,0,0,1,0
99728631,0,0,0,0
100215417,0,1,0,0
102893800,0,0,0,1
111255749,0,0,0,0
112308834,1,0,0,0
116806480,0,0,0,0
117270123,0,0,0,1
119199909,0,0,0,0
