timestamp_us,up,down,left,right
418068554,0,1,0,0
418590527,0,0,1,0
419323335,0,0,0,0
419697604,1,0,0,0
421104863,0,0,0,1
421975458,0,0,0,0
422690309,0,1,0,0
423127618,0,0,0,1
423711548,0,0,0,0
424002290,1,0,0,0
425407562,0,0,0,1
427060821,1,0,0,0
434632797,0,0,0,1
435689263,1,0,0,0
439356986,0,0,0,1
440079868,1,0,0,0
444170423,0,0,0,1
445108746,1,0,0,0
447244247,0,0,1,0
453062800,1,0,0,0
454719312,0,0,0,1
457579313,1,0,0,0
458400450,0,1,0,0
464047309,0,0,0,0
464749090,0,0,1,0
465507430,0,0,0,0
466010898,0,0,0,1
467409348,1,0,0,0
468976968,0,0,0,1
473970815,1,0,0,0
477339282,0,0,1,0
478761851,0,0,0,0
